"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","89.94","89.61","89.98","89.52","","0.29%"
"12/30/2020","89.68","89.98","89.98","89.56","","-0.35%"
"12/29/2020","89.99","90.21","90.23","89.85","","-0.38%"
"12/28/2020","90.34","90.22","90.38","89.98","","0.02%"
"12/25/2020","90.32","90.33","90.42","90.21","","0.00%"
"12/24/2020","90.32","90.28","90.38","90.15","","-0.10%"
"12/23/2020","90.41","90.52","90.67","90.16","","-0.27%"
"12/22/2020","90.65","90.09","90.72","90.06","","0.68%"
"12/21/2020","90.04","89.92","91.02","89.92","","0.03%"
"12/18/2020","90.02","89.83","90.13","89.83","","0.22%"
"12/17/2020","89.82","90.27","90.27","89.73","","-0.69%"
"12/16/2020","90.45","90.49","90.70","90.13","","-0.03%"
"12/15/2020","90.47","90.69","90.82","90.42","","-0.26%"
"12/14/2020","90.71","90.98","90.98","90.42","","-0.29%"
"12/11/2020","90.98","90.74","91.04","90.62","","0.17%"
"12/10/2020","90.82","91.06","91.15","90.67","","-0.29%"
"12/09/2020","91.09","90.92","91.20","90.69","","0.13%"
"12/08/2020","90.96","90.90","91.02","90.75","","0.19%"
"12/07/2020","90.79","90.81","91.24","90.62","","0.10%"
"12/04/2020","90.70","90.71","90.87","90.48","","-0.01%"
"12/03/2020","90.71","91.06","91.09","90.51","","-0.44%"
"12/02/2020","91.12","91.19","91.50","90.99","","-0.21%"
"12/01/2020","91.31","91.94","91.94","91.16","","-0.61%"
"11/30/2020","91.87","91.78","92.05","91.51","","0.09%"
"11/27/2020","91.79","92.02","92.05","91.76","","-0.22%"
"11/26/2020","91.99","91.95","92.17","91.85","","0.00%"
"11/25/2020","91.99","92.11","92.26","91.93","","-0.25%"
"11/24/2020","92.23","92.53","92.56","92.13","","-0.30%"
"11/23/2020","92.50","92.40","92.80","92.02","","0.12%"
"11/20/2020","92.39","92.34","92.43","92.21","","0.11%"
"11/19/2020","92.29","92.56","92.72","92.24","","-0.02%"
"11/18/2020","92.32","92.44","92.51","92.21","","-0.11%"
"11/17/2020","92.42","92.49","92.61","92.27","","-0.24%"
"11/16/2020","92.64","92.72","92.84","92.46","","-0.12%"
"11/13/2020","92.75","92.95","93.00","92.71","","-0.22%"
"11/12/2020","92.96","93.01","93.14","92.78","","-0.09%"
"11/11/2020","93.04","92.70","93.21","92.61","","0.32%"
"11/10/2020","92.75","92.76","92.97","92.60","","0.03%"
"11/09/2020","92.72","92.24","92.96","92.13","","0.54%"
"11/06/2020","92.23","92.57","92.82","92.18","","-0.32%"
"11/05/2020","92.53","93.34","93.54","92.49","","-0.94%"
"11/04/2020","93.41","93.09","94.30","93.09","","-0.16%"
"11/03/2020","93.55","94.05","94.05","93.29","","-0.61%"
"11/02/2020","94.13","93.89","94.29","93.89","","0.10%"
"10/30/2020","94.04","93.92","94.08","93.65","","0.09%"
